,title,jobFunction,industry
2984,Senior .Net Software Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Healthcare and Medical Services', 'Information Technology Services', 'Computer Software']"
5601,Executive Assistant,['Administration'],"['Manufacturing', 'Warehousing']"
496,Serviceability Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4913,Business Development Executive,['Business Development'],['Marketing and Advertising']
4379,Graphic Designer,"['Marketing/PR/Advertising', 'Creative/Design/Art']","['Information Technology Services', 'Capital Markets', 'Marketing and Advertising']"
6312,Customer Service Representative,"['IT/Software Development', 'Customer Service/Support']","['Engineering Services', 'Computer Software']"
1206,Oracle HCM Consultant,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
7517,Maintenance Manager - Zagazig,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical']",['Manufacturing']
7774,Client Relations Executive,['Customer Service/Support'],['Marketing and Advertising']
8046,TEFL/CELTA Teaching Trainer,"['Education/Teaching', 'Training/Instructor']",['Education']
9045,UX Designer,"['IT/Software Development', 'Creative/Design/Art']","['Information Technology Services', 'Computer Games', 'Computer Software']"
1494,FrontEnd Developer (jQuery),"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Computer Software']"
1195,Copywriter,['Writing/Editorial'],"['Marketing and Advertising', 'Writing and Editing']"
6157,Quality Control Engineer,"['Quality', 'IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
3813,Sales Representative ( Software/IT/ERP ),"['Sales/Retail', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Computer Networking', 'Information Technology Services']"
9431,Testing and Balancing Department Head - HVAC,"['Engineering - Mechanical/Electrical', 'Project/Program Management', 'Quality']",['Engineering Services']
5479,Content Coordinator,"['Media/Journalism/Publishing', 'Creative/Design/Art']","['Telecommunications', 'Information Technology Services', 'Music']"
6234,Public Relations Specialist,['Marketing/PR/Advertising'],['Computer Software']
288,Software Tester,"['Quality', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Engineering Services', 'Computer Software']"
2055,Mechanical Service Engineer,['Engineering - Mechanical/Electrical'],"['Information Technology Services', 'Engineering Services']"
1954,Customer Service Manager - Real Estate,"['Customer Service/Support', 'Operations/Management']",['Construction - Residential & Commercial/Office']
7921,Senior Mobile Developer - Android/iOS,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
10214,Specification Engineer,"['Engineering - Construction/Civil/Architecture', 'Sales/Retail']",['Manufacturing']
1758,Junior Administration / Facilities - مسئول إداري,"['Administration', 'Purchasing/Procurement']","['Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
6765,Senior Sales Engineer,"['Sales/Retail', 'Engineering - Telecom/Technology']",['Information Technology Services']
388,Senior Java Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
836,Accountant,['Accounting/Finance'],"['Computer Software', 'Information Technology Services']"
6247,Business Analyst,['Analyst/Research'],"['Human Resources', 'Computer Software']"
10834,BI Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
6350,Digital Marketing Executive,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Information Technology Services']
5894,Personnel Specialist,['Human Resources'],['Manufacturing']
7288,Maintenance Engineer - Alexandria,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical']",['Manufacturing']
8375,Copy & Content Writer,"['Marketing/PR/Advertising', 'Writing/Editorial']","['Information Technology Services', 'Media Production', 'Marketing and Advertising']"
6576,Senior PHP Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
1112,Projects Manager - Cloud Services Delivery,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Project/Program Management']","['Computer Software', 'Information Technology Services']"
5553,Senior Software Quality Control Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Quality']",['Information Technology Services']
7032,Senior Planning Engineer,['nan'],"['Engineering Services', 'Construction - Residential & Commercial/Office', 'Manufacturing']"
7386,Digital Optimizer/Buyer,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Marketing and Advertising', 'Media Production', 'Real Estate/Property Management']"
10447,Software Business Analyst,"['IT/Software Development', 'Analyst/Research', 'Business Development']","['Computer Software', 'Information Technology Services']"
10478,.NET Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Internet/E-commerce', 'Computer Software']"
8411,Production Engineer (Plastic) - Alexandria,"['Engineering - Other', 'Manufacturing/Production']","['Real Estate/Property Management', 'Plastics', 'Construction - Residential & Commercial/Office']"
10782,Graphic Designer - Alexandria,"['Creative/Design/Art', 'Marketing/PR/Advertising']",['Marketing and Advertising']
6862,UI/UX Design Intern,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Networking', 'Computer and Network Security', 'Computer Software']"
4230,Business Development Manager - Software,"['Business Development', 'Project/Program Management', 'IT/Software Development']","['Financial Services', 'Computer Software']"
8478,Oracle Middle Ware Administrator,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
5407,Senior Front-End Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
1839,Senior Testing Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Quality']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
416,CEO Assistant,['Administration'],"['Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
10413,Technical Office Engineer (Electrical/Mechanical) - Alexandria,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical']","['Environmental Services', 'Engineering Services', 'Construction - Industrial Facilities and Infrastructure']"
5379,Accountant - Alexandria,['Accounting/Finance'],['Engineering Services']
6625,Administrative Assistant,['Administration'],['Education']
5118,Marketing Manager,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Engineering - Construction/Civil/Architecture']",['Engineering Services']
5350,Housekeeping Manager - Mivida,"['Project/Program Management', 'Hospitality/Hotels/Food Services', 'Operations/Management']","['Hospitality/Hotels', 'Real Estate/Property Management', 'Recreational Facilities and Services']"
5224,Credit Card Technical Projects Specialist,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Manufacturing', 'Banking', 'Information Technology Services']"
6875,E-Marketing Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Computer Software', 'Computer Networking', 'Computer and Network Security']"
2908,Senior ERP Consultant,"['IT/Software Development', 'Accounting/Finance']",['Computer Software']
10455,Deep Learning Researcher,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Research', 'E-Learning']"
4870,Junior Full Stack Developer (.Net),"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
8,Real Estate Sales Specialist - 10th of Ramadan,['Sales/Retail'],['Real Estate/Property Management']
468,Purchasing Manager,"['Operations/Management', 'Purchasing/Procurement']","['Architectural and Design Services', 'Construction - Industrial Facilities and Infrastructure', 'Construction - Residential & Commercial/Office']"
4007,Sales Executive - Outdoor,['Sales/Retail'],"['Business Services - Other', 'Information Technology Services']"
7142,Maintenance Engineer Team Leader,"['Engineering - Mechanical/Electrical', 'Installation/Maintenance/Repair']",['Manufacturing']
9188,Graphic & Web Designer,"['IT/Software Development', 'Creative/Design/Art']","['Computer Software', 'Information Technology Services']"
9164,Social Media Manager,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Marketing and Advertising']
921,Marketing Specialist - Alexandria,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Management Consulting', 'Marketing and Advertising']"
5011,E-Marketing Executive - Mansoura,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Graphic Design', 'Media Production', 'Marketing and Advertising']"
8302,Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer and Network Security', 'Computer Software', 'Internet/E-commerce']"
7930,Project Manager ( Software ),"['Engineering - Telecom/Technology', 'Project/Program Management', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Computer and Network Security']"
2816,Business Development Executive,"['IT/Software Development', 'Sales/Retail', 'Business Development']","['Marketing and Advertising', 'Information Technology Services', 'Education']"
7389,Enterprise Sales Executive - Alexandria,"['Business Development', 'Sales/Retail']","['Consulting Services', 'Marketing and Advertising', 'Human Resources']"
2748,Linux Administrator,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Networking', 'Computer Software', 'Telecommunications']"
1964,Tendering Engineer,['Engineering - Mechanical/Electrical'],['Engineering Services']
4929,E-Commerce Sales Manager,"['Operations/Management', 'Sales/Retail']","['Marketing and Advertising', 'Retail']"
9079,Accountant - Alexandria,['Accounting/Finance'],['Healthcare and Medical Services']
3680,Senior Graphic Designer Executive,['Creative/Design/Art'],"['Internet/E-commerce', 'Information Technology Services', 'Marketing and Advertising']"
